;Instancia;Modularidad1;Time1;Best1;Dev1;Modularidad2;Time2;Best2;Dev2;Modularidad3;Time3;Best3;Dev3;Modularidad4;Time4;Best4;Dev4;Modularidad5;Time5;Best5;Dev5;Modularidad6;Time6;Best6;Dev6;Modularidad7;Time7;Best7;Dev7
89;graph89.gml;0.5;39.24079108;0;0.191322022;0.509102857;39.23099995;0;0.176599463;0.618293083;39.4738698;1;0;0.565588535;38.72259164;0;0.085242015;0.496680192;38.75212264;0;0.059417986;0.52805623;39.0790453;1;0;0.5;39.10965586;0;0.053131141
90;graph90.gml;0.471865455;39.24625254;0;0.147832544;0.553723862;39.01948118;1;0;0.513274336;39.11217189;0;0.073049996;0.512393296;39.02257466;0;0.074641114;0.669433785;39.26443028;1;0;0.513274336;39.15960073;0;0.233270941;0.5;39.13337541;0;0.25310014
91;graph91.gml;0.486549456;38.912287;0;0.289604814;0.493186624;38.99069667;0;0.279914099;0.513098128;39.22251797;0;0.250841952;0.684899708;39.45748496;1;0;0.493010416;39.08985472;0;0.123376849;0.56120169;39.1809895;0;0.002125762;0.562397212;39.37101412;1;0
92;graph92.gml;0.486549456;38.59585285;0;0.233230484;0.514173731;39.00875616;0;0.189696467;0.474077845;39.0458045;0;0.252884912;0.6345446;39.30959463;1;0;0.499430995;38.91707516;0;0.229290667;0.479383664;39.03930068;0;0.260227204;0.648014723;40.01085448;1;0
93;graph93.gml;0.486549456;39.33107495;0;0.082447201;0.530268619;39.24400687;1;0;0.5;39.04363751;0;0.057081672;0.493186624;39.08247924;0;0.069930586;0.5;38.90665436;0;0.006590991;0.498892582;39.39182305;0;0.00879123;0.50331736;39.09809494;1;0
94;graph94.gml;0.677495301;39.20065331;1;0;0.477171274;39.09248447;0;0.295683271;0.567838858;39.07347775;0;0.161855651;0.486549456;39.06865501;0;0.281840841;0.617055956;39.22089243;1;0;0.497787611;39.15159869;0;0.19328611;0.5;39.10419679;0;0.189700715
95;graph95.gml;0.5;39.13469052;0;0.267202296;0.682316548;38.93834352;1;0;0.547086694;39.2253983;0;0.198192253;0.488761845;38.77553558;0;0.283672884;0.539118177;39.1773138;1;0;0.441518521;38.96850991;0;0.181035735;0.515310518;39.27388334;0;0.044160372
96;graph96.gml;0.740375861;39.2101624;1;0;0.568427441;39.03897429;0;0.232244768;0.52805623;38.74878263;0;0.286772763;0.615259613;38.97883654;0;0.168990178;0.5;39.18298435;0;0.117780287;0.566752242;39.06955338;1;0;0.547086694;39.12347603;0;0.034698667
97;graph97.gml;0.497787611;38.87211466;0;0.269816198;0.681729188;39.09009027;1;0;0.549299084;39.04064393;0;0.194256175;0.513098128;38.94317007;0;0.24735784;0.567977132;39.13676858;1;0;0.5;38.87737226;0;0.119682868;0.492079205;39.41414475;0;0.13362849
98;graph98.gml;0.569504268;39.18785286;1;0;0.521242854;38.83495307;0;0.084742849;0.565764743;39.02898788;0;0.006566282;0.465228287;39.02293134;0;0.18309956;0.513098128;39.21895266;0;0.206881942;0.535798369;38.93302846;0;0.171793194;0.646937896;38.97445416;1;0
99;graph99.gml;0.514379307;39.25872254;1;0;0.497787611;39.05541682;0;0.032255762;0.474958885;39.16255498;0;0.076636875;0.489866816;39.12197447;0;0.047654505;0.566821991;38.96639562;1;0;0.498414128;38.84834361;0;0.120686677;0.499647584;39.38316774;0;0.118510587
