,Instancia,Time1,Time2,Time3,Time4,NMI-1,Best1,Desv-1,NMI-2,Best2,Desv-2,NMI-3,Best3,Desv-3,NMI-4,Best4,Desv-4
57,graph57.gml,41.792569160461426,41.73214769363403,41.50263166427612,41.03881621360779,0.01,0,0.5562564002673528,0.0035609331246450973,0,0.841985871686276,0.02253553630074876,1,0.0,0.011529528421543743,0,0.4883845555004313
58,graph58.gml,51.59676456451416,50.613502740859985,50.69199228286743,50.52283334732056,0.68796096847917,1,0.0,0.04398089371732596,0,0.936070655556882,0.022527868811092703,0,0.9672541469018314,0.022527868811092703,0,0.9672541469018314
59,graph59.gml,38.63842010498047,37.539220333099365,38.224783420562744,38.21634006500244,0.003276011215912592,0,0.7644080602847748,0.003276011215912592,0,0.7644080602847748,0.01390544693452804,1,0.0,0.01390544693452804,0,0.0
60,graph60.gml,34.869544982910156,35.32872176170349,35.063249588012695,35.00114727020264,0.06941589182613625,0,0.8465970093039596,0.419938036962946,0,0.07197402377988112,0.45250676998651246,1,0.0,0.048118144728190405,0,0.8936631495488462
61,graph61.gml,42.09667754173279,42.34426999092102,42.28792881965637,42.16265916824341,0.01,0,0.07898473641519885,0.01,0,0.07898473641519885,0.010857583359778124,1,0.0,0.01,0,0.07898473641519885
62,graph62.gml,53.764214277267456,54.12750577926636,54.29738926887512,53.73474144935608,0.03938219360531791,1,0.0,0.03938219360531791,0,0.0,0.03938219360531791,0,0.0,0.03938219360531791,0,0.0
63,graph63.gml,33.01039671897888,33.27904534339905,33.40497136116028,32.8876473903656,0.6497079509420575,1,0.0,0.6497079509420575,0,0.0,0.18200915190268957,0,0.7198600515219467,0.18200915190268957,0,0.7198600515219467
64,graph64.gml,50.287909746170044,50.20808506011963,50.404735803604126,50.72235441207886,0.01,1,0.0,0.01,0,0.0,0.01,0,0.0,0.01,0,0.0
65,graph65.gml,35.31010985374451,34.71681833267212,36.21174240112305,35.041088581085205,0.6144151838847486,0,0.08054298367469827,0.01,0,0.9850352491207676,0.6682369844109928,1,0.0,0.01,0,0.9850352491207676
66,graph66.gml,37.39948844909668,37.512293338775635,37.09236168861389,37.213244915008545,0.18177800234601157,1,0.0,0.13852016703528533,0,0.23797068265931118,0.04501944868219567,0,0.7523383022083064,0.024059072452277928,0,0.8676458529537482
67,graph67.gml,52.54458284378052,51.95994853973389,52.03262805938721,52.39883589744568,0.03898681737064916,1,0.0,0.03898681737064916,0,0.0,0.03898681737064916,0,0.0,0.01996058345994005,0,0.48801710921478864
68,graph68.gml,41.20432925224304,41.3174524307251,41.80547547340393,41.89916253089905,0.013715173814191144,0,0.488464580758145,0.026811777441566723,1,0.0,0.026811777441566723,0,0.0,0.026811777441566723,0,0.0
69,graph69.gml,39.70185899734497,40.199660301208496,39.59775972366333,39.57777714729309,0.6720990632520769,1,0.0,0.6720990632520769,0,0.0,0.07073678286444754,0,0.8947524453877761,0.07073678286444754,0,0.8947524453877761
70,graph70.gml,33.744418144226074,34.36274814605713,33.893195390701294,34.004008531570435,0.46592205009022875,1,0.0,0.06534828215496623,0,0.8597441736395366,0.04622310108650323,0,0.900792201018278,0.4464414676576712,0,0.04181081884573832
71,graph71.gml,39.482290506362915,39.4598274230957,39.314735412597656,39.32008934020996,0.003650686794138951,0,0.8561896094953098,0.025385417432823732,1,0.0,0.025385417432823732,0,0.0,0.01,0,0.6060730525128238
72,graph72.gml,60.01826453208923,58.87214469909668,58.71909785270691,58.86179971694946,0.6666662197587944,1,0.0,0.04174120408338673,0,0.9373881519023282,0.04174120408338673,0,0.9373881519023282,0.0213282005289278,0,0.9680076777601773
73,graph73.gml,61.19813251495361,60.36933994293213,61.20124292373657,61.006932973861694,0.01,0,0.8883492250577667,0.011446123488385444,0,0.8722031442437266,0.0058576935865308375,0,0.9345983971689682,0.08956498515280227,1,0.0
74,graph74.gml,35.41182231903076,35.58709740638733,35.5449001789093,35.82325100898743,0.36694803922670893,1,0.0,0.01,0,0.9727481852169763,0.02527316227229218,0,0.9311260462774189,0.03920681668393026,0,0.8931543093497567
75,graph75.gml,33.691237688064575,33.63739609718323,33.48155188560486,33.44422221183777,0.696050205080428,1,0.0,0.5123433119725759,0,0.2639276474124808,0.030337130756437392,0,0.9564153123797557,0.059311269258888875,0,0.9147888057126059
76,graph76.gml,49.08973741531372,48.739142179489136,48.44891595840454,48.40680456161499,0.01,1,0.0,0.01,0,0.0,0.01,0,0.0,0.01,0,0.0
77,graph77.gml,38.929107904434204,38.74229598045349,39.1136908531189,38.83318519592285,0.0218898641155163,1,0.0,0.0218898641155163,0,0.0,0.0218898641155163,0,0.0,0.01133985521436137,0,0.4819586291390779
78,graph78.gml,34.72451138496399,34.57803750038147,34.896339416503906,34.598652601242065,0.01,1,0.0,0.01,0,0.0,0.01,0,0.0,0.01,0,0.0
79,graph79.gml,31.740613222122192,31.722596883773804,31.608097791671753,31.34641742706299,0.7517585293043669,1,0.0,0.7517585293043669,0,0.0,0.7517585293043669,0,0.0,0.7517585293043669,0,0.0
80,graph80.gml,33.664493560791016,33.562812089920044,33.744537115097046,33.92621088027954,0.01,1,0.0,0.01,0,0.0,0.01,0,0.0,0.01,0,0.0
81,graph81.gml,38.40905547142029,39.03446006774902,38.09235119819641,38.071431398391724,0.6865136857316769,1,0.0,0.6865136857316769,0,0.0,0.06949501084112743,0,0.8987711209761818,0.03583363131287841,0,0.9478034712815849
82,graph82.gml,34.17537784576416,33.662166118621826,33.754233837127686,33.78019380569458,0.5131572300449848,1,0.0,0.5131572300449848,0,0.0,0.4798039164541102,0,0.06499628503324562,0.485026223654579,0,0.054819468075973106
83,graph83.gml,40.52398347854614,40.77455687522888,40.317463397979736,40.32651090621948,0.013272370815521453,1,0.0,0.013272370815521453,0,0.0,0.013272370815521453,0,0.0,0.0108816318380643,0,0.18012900714477398
84,graph84.gml,55.29377746582031,54.709372758865356,54.575562953948975,54.58065748214722,0.01,1,0.0,0.01,0,0.0,0.01,0,0.0,0.01,0,0.0
85,graph85.gml,34.78141498565674,35.102049589157104,34.5657172203064,34.80148935317993,0.06917038107463942,1,0.0,0.06917038107463941,0,2.0063194090024463e-16,0.06917038107463941,0,2.0063194090024463e-16,0.04360369543548133,0,0.36961897913458
86,graph86.gml,47.70700645446777,47.549566984176636,47.91279315948486,47.97096848487854,0.03024304198144801,1,0.0,0.03024304198144801,0,0.0,0.03024304198144801,0,0.0,0.015886097213953263,0,0.47471893787343644
87,graph87.gml,38.349247217178345,38.54749274253845,38.698959827423096,38.590261459350586,0.01636139886465386,0,0.5158732273721673,0.01636139886465386,0,0.5158732273721673,0.01636139886465386,0,0.5158732273721673,0.033795691107608945,1,0.0
88,graph88.gml,56.29721117019653,55.31187653541565,63.85545492172241,70.2892837524414,0.22981494017742252,1,0.0,0.01,0,0.9564867280069791,0.01,0,0.9564867280069791,0.01,0,0.9564867280069791
89,graph89.gml,42.69726538658142,42.79051327705383,42.450961112976074,41.46556520462036,0.6651741936544492,1,0.0,0.09156303076652218,0,0.8623472894168107,0.09156303076652218,0,0.8623472894168107,0.09156303076652218,0,0.8623472894168107
90,graph90.gml,41.25727939605713,42.99829053878784,41.754252672195435,42.14974021911621,0.024364263359425195,0,0.5296092460428911,0.024364263359425195,0,0.5296092460428911,0.01805382205826466,0,0.6514423258148959,0.05179579563259607,1,0.0
91,graph91.gml,41.35238265991211,41.449387311935425,43.185896158218384,43.10707235336304,0.01,0,0.5415264550975123,0.004495112947570795,0,0.7939109632190147,0.021811509325204117,1,0.0,0.021811509325204117,0,0.0
92,graph92.gml,56.72427034378052,57.75748300552368,57.06084418296814,56.88868308067322,0.01,1,0.0,0.01,0,0.0,0.01,0,0.0,0.01,0,0.0
93,graph93.gml,49.9658362865448,46.19241738319397,49.03987097740173,49.76530456542969,0.06918914827100107,0,0.8932248459923506,0.6479892154128327,1,0.0,0.06918914827100107,0,0.8932248459923506,0.06918914827100107,0,0.8932248459923506
94,graph94.gml,49.23422646522522,49.067256689071655,47.77027773857117,49.4548614025116,0.036172073098110706,0,0.7344736178940136,0.13622779330331256,1,0.0,0.019148642116853687,0,0.8594365976829776,0.019148642116853687,0,0.8594365976829776
95,graph95.gml,64.75923299789429,62.91801476478577,65.24293088912964,63.64127707481384,0.01,1,0.0,0.01,0,0.0,0.01,0,0.0,0.01,0,0.0
96,graph96.gml,42.3409948348999,40.53575253486633,41.966822385787964,40.57893490791321,0.6317412768078656,1,0.0,0.3910405583580102,0,0.3810115426778751,0.3910405583580102,0,0.3810115426778751,0.024861202505591342,0,0.9606465440548497
97,graph97.gml,75.50490355491638,76.21341800689697,75.59680652618408,75.4353666305542,0.03330004534734296,1,0.0,0.03330004534734296,0,0.0,0.03330004534734296,0,0.0,0.01700371394746152,0,0.4893786548906829
98,graph98.gml,69.79476857185364,70.7705249786377,70.5337290763855,68.36540460586548,0.03195222005308439,1,0.0,0.03195222005308439,0,0.0,0.016328154394707448,0,0.48898216250450266,0.03195222005308439,0,0.0
99,graph99.gml,37.60197138786316,37.278865814208984,37.58821082115173,37.17148447036743,0.004420471059368952,0,0.8419300918903929,0.027965291510790018,1,0.0,0.027965291510790018,0,0.0,0.014339513221437972,0,0.4872389148561076
